Id;Namn;Dag 1;Dag 2;Dag 180;Dag 181;Dag 365;Dag 366
2676;PHI Token;2018-04-25;2018-04-26;2018-10-22;2018-10-23;2019-04-25;2019-04-26
2677;LinkerCoin;2018-04-25;2018-04-26;2018-10-22;2018-10-23;2019-04-25;2019-04-26
2699;sharder protocol;2018-05-03;2018-05-04;2018-10-30;2018-10-31;2019-05-03;2019-05-04
3094;Scorum;2018-08-07;2018-08-08;2019-02-03;2019-02-04;2019-08-07;2019-08-08
2528;Dether;2018-02-15;2018-02-16;2018-08-14;2018-08-15;2019-02-15;2019-02-16
2552;IHT Coin;2018-03-01;2018-03-02;2018-08-28;2018-08-29;2019-03-01;2019-03-02
2700;Celsius;2018-05-03;2018-05-04;2018-10-30;2018-10-31;2019-05-03;2019-05-04
2295;Starbase;2017-12-20;2017-12-21;2018-06-18;2018-06-19;2018-12-20;2018-12-21
3978;Chromia;2019-05-28;2019-05-29;2019-11-24;2019-11-25;2020-05-27;2020-05-28
2882;0chain;2018-07-02;2018-07-03;2018-12-29;2018-12-30;2019-07-02;2019-07-03
4238;everiToken;2019-08-12;2019-08-13;2020-02-08;2020-02-09;2020-08-11;2020-08-12
2490;CargoX;2018-01-31;2018-02-01;2018-07-30;2018-07-31;2019-01-31;2019-02-01
2462;AidCoin;2018-01-24;2018-01-25;2018-07-23;2018-07-24;2019-01-24;2019-01-25
4191;NOIA Network;2019-07-31;2019-08-01;2020-01-27;2020-01-28;2020-07-30;2020-07-31
2548;POA Network;2018-02-28;2018-03-01;2018-08-27;2018-08-28;2019-02-28;2019-03-01
2913;DatabrokerDAO;2018-07-11;2018-07-12;2019-01-07;2019-01-08;2019-07-11;2019-07-12
2840;QuarkChain;2018-06-04;2018-06-05;2018-12-01;2018-12-02;2019-06-04;2019-06-05
2447;Crypterium;2018-01-22;2018-01-23;2018-07-21;2018-07-22;2019-01-22;2019-01-23
2310;bounty0x;2017-12-26;2017-12-27;2018-06-24;2018-06-25;2018-12-26;2018-12-27
2286;MicroMoney;2017-12-18;2017-12-19;2018-06-16;2018-06-17;2018-12-18;2018-12-19
3874;irisnet;2019-04-18;2019-04-19;2019-10-15;2019-10-16;2020-04-17;2020-04-18
5478;ECOSC.io;2020-04-20;2020-04-21;2020-10-17;2020-10-18;2021-04-20;2021-04-21
2506;Swarm Fund;2018-02-07;2018-02-08;2018-08-06;2018-08-07;2019-02-07;2019-02-08
2666;Effect.AI;2018-04-24;2018-04-25;2018-10-21;2018-10-22;2019-04-24;2019-04-25
2340;Bloom;2018-01-15;2018-01-16;2018-07-14;2018-07-15;2019-01-15;2019-01-16
2624;Sentinel Chain;2018-04-02;2018-04-03;2018-09-29;2018-09-30;2019-04-02;2019-04-03
2371;United Traders;2018-01-11;2018-01-12;2018-07-10;2018-07-11;2019-01-11;2019-01-12
2970;LocalCoinSwap;2018-07-25;2018-07-26;2019-01-21;2019-01-22;2019-07-25;2019-07-26
5220;QURAS;2020-02-11;2020-02-12;2020-08-09;2020-08-10;2021-02-10;2021-02-11
1727;Bancor;2017-06-18;2017-06-19;2017-12-15;2017-12-16;2018-06-18;2018-06-19
4927;RigoBlock;2020-07-22;2020-07-23;2021-01-18;2021-01-19;2021-07-22;2021-07-23
2675;dock.io;2018-04-25;2018-04-26;2018-10-22;2018-10-23;2019-04-25;2019-04-26
